awsamazoncom,applecom,askcom,chinacom,cnncom,coccoccom,ettodaynet,hao123com,instagramcom,microsoftcom,paypalcom,popadsnet,quoracom,theguardiancom,tianyacn,twittercom,whatsappcom,xnxxcom,xvideoscom,yandexru,youtubecom
191.972808,40.2710472,17.7008256,70.2758016,149.54976,52.2551376,79.2814824,42.02154,34.1294112,27.5868144,22.4190576,16.3644264,49.4667432,49.6813824,13.45470408,53.0703288,45.9098064,41.3287848,48.4507296,31.7775456,31.919544
193.14108,35.6093136,15.1117488,52.9686864,142.356816,54.4834728,73.0003104,61.6032288,32.6512872,25.9749,23.3432784,14.5080504,49.3563456,104.2068528,13.1084496,48.9574368,39.3561288,36.349128,52.8310656,36.2946816,27.1355112
187.50492,38.7079704,13.27605696,61.1699832,147.925944,59.8620384,46.3757472,49.8768696,32.7016296,26.6221008,28.589148,13.9080456,42.7743504,99.1125576,9.30891168,47.0178864,44.908704,35.6161536,49.8832992,37.096056,29.6218512
186.071256,41.6058048,12.5549568,64.3005144,152.091504,54.6756768,83.3514192,26.580924,33.305328,25.2370008,25.0763976,14.2748064,52.8175224,101.7596376,13.26434688,48.1375944,41.3513568,38.8455912,55.0314936,36.798516,32.58918
191.234088,37.1149344,13.63363848,70.2443376,132.81912,54.5148,90.0461376,30.5155656,34.96608,22.5616032,30.1002408,17.2742832,40.6014192,103.5020592,12.52550376,43.0568424,42.3924048,32.7285792,52.0136856,33.5627856,29.136348
180.595152,43.4233296,12.8333448,67.3201008,132.6920328,54.1908576,83.879604,58.8783096,29.4162408,25.5374136,22.9808952,13.65939792,500.151744,49.1137992,17.522712,48.0607128,42.8524632,37.9349136,53.70084,35.897004,30.6051696
198.112392,36.5080896,14.0715216,56.072268,149.062752,57.1007304,88.6293,74.7841824,33.0603192,24.2763912,25.6989744,11.94928848,44.7765552,106.3669248,10.37000088,45.7757424,38.7286272,33.7796136,51.3582768,37.2305304,31.6344528
194.506344,35.7552792,13.25046168,50.7180528,159.853536,51.182352,87.8182128,63.008712,32.4025848,22.786776,25.6353624,14.93172,49.0053168,108.7759728,10.33560936,44.8106184,37.2290256,41.3529984,52.497684,35.6807232,34.9182
201.703392,32.7053232,15.2789184,71.480052,146.440296,55.1260224,71.5652784,30.0858768,32.308056,24.753276,26.5824288,16.35444,42.0190776,103.7336616,8.08237656,51.3787968,39.4737768,35.6833224,52.0294176,33.9668928,34.7997312
191.7936,38.5971624,14.06646,70.6283352,142.847928,64.013508,82.5566112,65.1780864,33.1132608,26.6954256,25.1327592,13.43318544,46.1185632,106.242984,8.85399696,45.0781992,40.4699544,34.8028776,54.1424304,33.8984928,30.5783568
199.808712,40.1566824,16.1470512,65.4611256,134.1834264,56.7360216,97.2549504,57.9476592,26.8314048,23.569956,26.6024016,7.89516576,42.6963744,109.6928064,9.17663976,48.965508,41.1215328,38.8869048,49.4523792,35.813556,30.0861504
187.075368,36.5691024,13.18660344,68.4699048,142.831512,49.6958832,74.9751552,63.6791688,29.3492088,25.1504064,21.8472336,15.6920544,44.8671168,109.820304,11.64555144,50.1202368,41.1068952,38.760912,52.5310632,35.8317504,33.5928816
